data,property_id,url
<binary_data_64685_bytes>,30087,https://venda-imoveis.caixa.gov.br/fotos/F844441672897021.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_9250_bytes>,30089,https://venda-imoveis.caixa.gov.br/fotos/F855550504584521.jpg
<binary_data_265471_bytes>,30090,https://venda-imoveis.caixa.gov.br/fotos/F155553364794521.jpg
<binary_data_249861_bytes>,30090,https://venda-imoveis.caixa.gov.br/fotos/F155553364794522.jpg
<binary_data_245912_bytes>,30090,https://venda-imoveis.caixa.gov.br/fotos/F155553364794523.jpg
<binary_data_25762_bytes>,30091,https://venda-imoveis.caixa.gov.br/fotos/F000001017536721.jpg
<binary_data_88309_bytes>,30092,https://venda-imoveis.caixa.gov.br/fotos/F144441310225721.jpg
<binary_data_49481_bytes>,30093,https://venda-imoveis.caixa.gov.br/fotos/F144441337616021.jpg
<binary_data_75188_bytes>,30094,https://venda-imoveis.caixa.gov.br/fotos/F144440425011721.jpg
<binary_data_20242_bytes>,30335,https://venda-imoveis.caixa.gov.br/fotos/F000001019642921.jpg
<binary_data_72101_bytes>,30095,https://venda-imoveis.caixa.gov.br/fotos/F144440618736621.jpg
<binary_data_95439_bytes>,30096,https://venda-imoveis.caixa.gov.br/fotos/F160000012038721.jpg
<binary_data_71113_bytes>,30097,https://venda-imoveis.caixa.gov.br/fotos/F144441797417821.jpg
<binary_data_37463_bytes>,30098,https://venda-imoveis.caixa.gov.br/fotos/F155553522903221.jpg
<binary_data_77218_bytes>,30099,https://venda-imoveis.caixa.gov.br/fotos/F855552266791321.jpg
<binary_data_40754_bytes>,30100,https://venda-imoveis.caixa.gov.br/fotos/F878770847555121.jpg
<binary_data_72412_bytes>,30101,https://venda-imoveis.caixa.gov.br/fotos/F878771308183321.jpg
<binary_data_56357_bytes>,30102,https://venda-imoveis.caixa.gov.br/fotos/F155553358320321.jpg
<binary_data_23345_bytes>,30103,https://venda-imoveis.caixa.gov.br/fotos/F000001020861721.jpg
<binary_data_45824_bytes>,30104,https://venda-imoveis.caixa.gov.br/fotos/F810040028631921.jpg
<binary_data_45435_bytes>,30105,https://venda-imoveis.caixa.gov.br/fotos/F000001021040621.jpg
<binary_data_76639_bytes>,30106,https://venda-imoveis.caixa.gov.br/fotos/F878770522896021.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_52021_bytes>,30108,https://venda-imoveis.caixa.gov.br/fotos/F878770355127621.jpg
<binary_data_48448_bytes>,30109,https://venda-imoveis.caixa.gov.br/fotos/F855553859597621.jpg
<binary_data_48710_bytes>,30110,https://venda-imoveis.caixa.gov.br/fotos/F878771358516521.jpg
<binary_data_103679_bytes>,30111,https://venda-imoveis.caixa.gov.br/fotos/F144440622872021.jpg
<binary_data_79030_bytes>,30112,https://venda-imoveis.caixa.gov.br/fotos/F878770287783621.jpg
<binary_data_51996_bytes>,30113,https://venda-imoveis.caixa.gov.br/fotos/F855553845348921.jpg
<binary_data_72974_bytes>,30114,https://venda-imoveis.caixa.gov.br/fotos/F878770885851521.jpg
<binary_data_26069_bytes>,30115,https://venda-imoveis.caixa.gov.br/fotos/F855553686656521.jpg
